Name	WT_1_log2.cpm.	WT_2_log2.cpm.	DKO_1_log2.cpm.	DKO_2_log2.cpm.
Mtbp	12.91521719	12.57947667	12.58819913	13.58553994
Naif1	15.43357095	13.17745628	14.38008203	13.45434264
Zfp433	15.53015152	14.73321116	13.16832552	16.25712229
Evl	222.8609442	213.4863472	228.4920247	217.0675109
Haus3	6.096579321	7.835362381	7.928236506	6.480027789
Pcnxl3	60.42191483	60.00455017	58.40419127	59.59006847
Smim20	47.86834427	36.20206281	44.44656434	41.87449829
Zfp277	42.22425314	39.09737925	37.8704327	41.67181407
Rnf170	9.9176616	9.094535786	10.34599146	9.208715931
Bag3	11.57547909	14.10368253	13.8613897	12.57076027
Ccar1	55.63805185	62.98777741	62.42274954	58.76967439
Cenpn	8.403556352	8.333947432	11.27456604	6.220368287
Dok3	170.6622307	136.6176433	135.9563759	180.268061
Esco1	52.74637344	54.60647028	52.34573175	57.28160454
H3f3b	761.130488	571.258533	675.1199306	692.1783465
Lsm1	29.63027272	26.61190715	27.41702255	27.56947711
Nup133	34.17809306	34.08346251	35.38338091	31.38492813
Nup88	65.89056534	72.90773614	71.357838	70.27794008
Tmem201	13.46367172	12.27796877	13.03212101	12.04197398
Ccdc166	9.26634245	7.835362381	7.584215721	10.07005739
Mettl21a	20.35060811	18.15128776	19.13311675	20.33650703
Ypel5	72.80673458	76.79816847	71.65522487	81.00842201
Bmi1	68.87936799	76.95803193	71.80438275	77.0647924
Dvl3	6.267977496	6.272323633	6.792769972	6.117745112
Eaf2	22.28498369	23.96737495	24.48794832	22.86390624
Ppip5k1	12.60566218	12.01695942	13.3428967	11.94222707
Pradc1	9.747282109	10.92074974	11.85973608	9.441394747
Tollip	79.45135946	84.68297215	77.81627412	83.1705
4930522L14Rik	10.57070725	9.794691139	9.343739157	11.61566624
Csnk1g2	135.9563759	114.8812865	123.2120887	122.1914898
Wrnip1	42.04901207	41.49886575	42.57692931	42.69514143
Cad	97.74831987	99.4569304	112.1277843	89.5734954
Eif2b1	36.50443891	39.53339639	38.02825936	36.42860893
Fbxl12	13.67055585	10.85283462	12.71976402	12.50124608
Fundc1	70.91407026	68.30882163	66.53308385	69.98626928
Gnal	11.60761766	13.07736526	11.13477113	14.28075154
Hirip3	11.40030091	9.855984588	12.86161585	9.113467018
Ict1	35.50622311	29.77438905	32.24492033	31.53757878
Igkv4-70	64.66889258	61.39290364	26.48309811	88.03467636
Larp4b	88.40156468	104.1125374	100.1487081	96.40258986
Lpp	24.55593754	39.80837291	35.55547932	31.21137477
Mob1a	501.8109007	543.448683	535.2243713	531.8958609
Plrg1	67.4151063	74.43968266	71.357838	67.74300127
Poldip3	124.1551245	133.0661677	134.9237022	127.5571536
Rnaseh2a	36.75834736	32.67238802	33.68419695	34.20179172
Rnf185	39.26031927	44.17015531	39.23311552	46.14172389
Rtn4ip1	17.95109569	20.11221399	19.58938228	19.41365696
Tmx3	115.7605603	119.5110329	113.3782424	117.3765175
Ube2l3	6.959578822	6.570485606	7.448758559	6.480027789
Zfp282	20.76382027	20.52058564	21.51095991	18.77837085
Rnasek	6.821079134	5.509800186	5.377739977	7.37171349
Ccdc28a	10.60740608	9.461048002	10.23897931	10.36034399
Ciz1	24.6924828	22.97511217	25.68759644	23.08685899
Gemin5	32.58192639	33.8245773	37.55674171	30.46329307
Rnf111	41.84548315	52.78294711	47.24206098	49.65957467
Commd4	61.60604436	55.13895422	59.30163596	55.02441512
Tmem209	59.34275497	54.19169999	57.28160454	58.60695593
Zfp324	11.88442337	10.28877987	12.38051995	10.43240588
Adcy7	138.2369997	151.5867663	133.8988723	149.9149032
1110032A03Rik	8.815240927	7.802843692	7.032316487	9.081936817
Akr1e1	18.70043598	15.67072476	16.38155041	17.13649317
Ankrd54	19.97328878	19.14638341	19.61655776	18.62282455
Anp32a	373.250401	359.0398082	349.7063057	368.6224175
Anp32b	338.0282473	345.8493656	359.7871873	337.5599653
Asf1b	38.05462768	40.58852478	53.74281555	28.48242346
Athl1	15.40151109	14.21162873	13.30595357	15.53015152
Baz1b	142.2219173	137.8542562	145.7144357	139.6817763
Bptf	57.68002961	57.04387174	63.2502817	53.96679106
Ccndbp1	68.64106348	62.98777741	64.4005007	69.79249489
Ccrl2	4.61394242	6.806909836	5.101777567	6.745848882
Clns1a	93.50684023	81.8550772	93.50684023	85.39028286
Coro1c	79.23137861	73.92549021	86.04383963	70.37543356
Deb1	8.645803216	7.900806892	8.415214234	7.700755545
Dhrs11	10.3316588	9.292069855	10.03521764	9.081936817
Dnttip1	24.21786869	22.7059737	23.68661277	24.28510805
Dpy19l3	23.55562979	22.6117383	22.69024057	22.47111801
Dtwd1	6.783359717	6.307201392	6.552293583	6.1859707
Eif4g2	962.7383834	1078.641701	1059.376723	1024
Enc1	9.815079818	10.28877987	12.65819682	8.156781464
Gmeb2	39.75322502	35.38338091	39.7807894	36.93713336
Ighv8-12	43.08160222	56.49299176	56.29754086	40.22442798
Map3k4_1	25.56326133	26.19101381	25.58098657	25.07190998
Minos1	94.6151956	97.00586026	97.61290581	90.50966799
Mrpl15	60.04615658	55.06256836	59.26054544	53.51976959
Mtmr6	74.33655884	80.44885597	75.4788219	76.42644397
Paip2	96.67024548	91.01295428	94.22251918	96.87147475
Pgm3	15.67072476	13.90951296	16	12.79936205
Piezo1	36.1018284	35.58013304	41.04117129	32.37930243
Ppm1g	207.3608892	193.8772884	206.7867591	202.2505758
Psip1	44.20078234	47.3075978	45.75951956	43.9259018
Pura	51.66086877	72.90773614	55.48400406	65.61710322
Raf1	104.3292585	104.8366973	110.7374964	102.2530453
Rfxank	15.40151109	14.73321116	13.823011	17.11275341
Sfxn1	90.25906947	99.5949026	98.5647583	87.60856404
Slc25a44	41.61408469	46.04587456	43.77392972	45.69612735
Snrpa1	46.94826701	47.90153558	50.52760875	42.28282898
Tbcc	19.25284842	14.21162873	16.62174565	15.88947993
Tnfrsf8	31.38492813	31.73493538	30.86714191	33.54439922
Treml2	62.46603269	62.5960623	73.1101598	55.02441512
Vps4b	143.1119169	152.4296767	142.0248924	147.8509804
Wash	41.44137596	40.75767921	43.68299897	40.1965562
Zcchc9	23.8018202	21.87179923	22.86390624	23.85136619
Zmat5	25.63423608	23.93417213	24.26828073	26.39147356
C330018D20Rik	19.42711815	18.98778876	18.27753995	19.27955704
Fam185a	8.851978825	7.802843692	8.242031629	8.851978825
Midn	88.46286122	100.0099687	98.08767745	94.02679253
Pak1ip1	55.86992583	51.58930122	52.74637344	52.60033199
Ppp6r1	249.1723198	224.7223802	251.9511096	231.6816545
Rin3	198.3631183	188.3144635	173.6453539	205.2160843
Tnfsf10	11.85151838	12.15097352	10.14010018	13.19573678
Bad	25.59872411	24.43707997	26.17286587	24.89872565
Bspry	6.233316637	4.945101044	4.481556857	7.105814367
Cdipt	118.767805	122.2762159	120.0091003	116.7274452
Cdkn1b	86.52229331	99.87142146	85.27198881	105.200664
